Movie ID,Movie Title,Number of Ratings,Average Rating
169468,Lure: Teen Fight Club (2010),1,5.0
110,Braveheart (1995),1,5.0
3,Grumpier Old Men (1995),1,5.0
153548,Fight Club: Members Only (2006),1,4.0
69757,(500) Days of Summer (2009),1,4.0
2959,Fight Club (1999),1,4.0
55,Georgia (1995),1,4.0
49,When Night Is Falling (1995),1,4.0
14,Nixon (1995),1,4.0
9,Sudden Death (1995),1,4.0
6,Heat (1995),1,4.0
4,Waiting to Exhale (1995),1,4.0
2,Jumanji (1995),1,4.0
1,Toy Story (1995),1,4.0
169736,Zombie Fight Club (2014),1,3.0
17,Sense and Sensibility (1995),1,2.0
