Rating ID,User ID,Username,Movie ID,Movie Title,Rating (Stars),Created At,Updated At
30,6,newuser,2,Jumanji (1995),4,2025-11-12 05:36:52.468185,2025-11-12 05:37:28.381620
29,5,viswa,2,Jumanji (1995),4,2025-11-12 05:27:08.974361,2025-11-12 05:27:08.974361
28,5,viswa,5,Father of the Bride Part II (1995),4,2025-11-12 04:34:06.642013,2025-11-12 04:34:06.642013
27,5,viswa,3,Grumpier Old Men (1995),4,2025-11-12 04:33:57.210646,2025-11-12 04:33:57.210646
2,1,BHARGAV12,1,Toy Story (1995),4,2025-11-11 15:07:08.421090,2025-11-12 04:32:29.034689
26,4,surya,31,Dangerous Minds (1995),4,2025-11-11 19:32:13.184110,2025-11-11 19:32:13.184110
25,4,surya,17,Sense and Sensibility (1995),4,2025-11-11 19:32:05.975936,2025-11-11 19:32:05.975936
24,4,surya,13,Balto (1995),4,2025-11-11 19:32:02.124198,2025-11-11 19:32:02.124198
23,4,surya,5,Father of the Bride Part II (1995),2,2025-11-11 19:31:56.035961,2025-11-11 19:31:56.035961
22,3,jayanth,19,Ace Ventura: When Nature Calls (1995),4,2025-11-11 19:30:57.809414,2025-11-11 19:30:57.809414
21,3,jayanth,17,Sense and Sensibility (1995),4,2025-11-11 19:30:49.039907,2025-11-11 19:30:49.039907
20,3,jayanth,3,Grumpier Old Men (1995),4,2025-11-11 19:30:42.369686,2025-11-11 19:30:42.369686
19,2,lphegde,14,Nixon (1995),4,2025-11-11 19:30:03.130543,2025-11-11 19:30:03.131543
18,2,lphegde,4,Waiting to Exhale (1995),4,2025-11-11 19:29:54.272473,2025-11-11 19:29:54.272473
17,2,lphegde,70,From Dusk Till Dawn (1996),4,2025-11-11 19:29:32.383620,2025-11-11 19:29:32.383620
5,1,BHARGAV12,2,Jumanji (1995),4,2025-11-11 15:38:31.418381,2025-11-11 18:55:36.774282
3,1,BHARGAV12,4,Waiting to Exhale (1995),4,2025-11-11 15:34:07.997745,2025-11-11 17:13:36.847360
13,1,BHARGAV12,153548,Fight Club: Members Only (2006),4,2025-11-11 16:56:36.872157,2025-11-11 17:06:30.579657
12,1,BHARGAV12,2959,Fight Club (1999),4,2025-11-11 16:56:28.087323,2025-11-11 17:01:28.090705
16,1,BHARGAV12,169468,Lure: Teen Fight Club (2010),5,2025-11-11 17:00:21.283475,2025-11-11 17:00:21.283475
15,1,BHARGAV12,69757,(500) Days of Summer (2009),4,2025-11-11 16:57:15.788588,2025-11-11 16:58:12.447875
14,1,BHARGAV12,169736,Zombie Fight Club (2014),3,2025-11-11 16:56:40.561951,2025-11-11 16:56:40.561951
1,1,BHARGAV12,3,Grumpier Old Men (1995),5,2025-11-11 15:02:04.940482,2025-11-11 16:53:41.537021
11,1,BHARGAV12,110,Braveheart (1995),5,2025-11-11 16:48:15.595407,2025-11-11 16:48:15.595407
10,1,BHARGAV12,49,When Night Is Falling (1995),4,2025-11-11 15:43:36.753801,2025-11-11 15:43:36.753801
9,1,BHARGAV12,55,Georgia (1995),4,2025-11-11 15:43:34.734996,2025-11-11 15:43:34.734996
8,1,BHARGAV12,14,Nixon (1995),4,2025-11-11 15:43:04.182720,2025-11-11 15:43:04.182720
7,1,BHARGAV12,17,Sense and Sensibility (1995),2,2025-11-11 15:42:49.995359,2025-11-11 15:42:49.995359
6,1,BHARGAV12,9,Sudden Death (1995),4,2025-11-11 15:41:14.420861,2025-11-11 15:41:14.420861
4,1,BHARGAV12,6,Heat (1995),4,2025-11-11 15:37:12.542007,2025-11-11 15:37:12.542007
